Connection ID,Timestamp,Client Address,Message
0,2024-08-05 06:20:40,"('119.92.13.201', 13721)",Motion detected!
0,2024-08-05 06:21:00,"('119.92.13.201', 13721)",Motion detected!
0,2024-08-05 06:21:52,"('119.92.13.201', 13721)",Motion detected!
2,2024-08-05 06:21:58,"('119.92.13.201', 13750)",Motion detected!
3,2024-08-05 06:21:58,"('119.92.13.201', 13751)",Motion detected!
4,2024-08-05 06:21:58,"('119.92.13.201', 13756)",Motion detected!
5,2024-08-05 06:21:58,"('119.92.13.201', 13752)",Motion detected!
6,2024-08-05 06:21:58,"('119.92.13.201', 13758)",Motion detected!
7,2024-08-05 06:21:58,"('119.92.13.201', 13754)",Motion detected!
8,2024-08-05 06:21:58,"('119.92.13.201', 13755)",Motion detected!
9,2024-08-05 06:21:58,"('119.92.13.201', 13757)",Motion detected!
10,2024-08-05 06:21:58,"('119.92.13.201', 13759)",Motion detected!
11,2024-08-05 06:21:58,"('119.92.13.201', 13753)",Motion detected!
6,2024-08-05 06:21:59,"('119.92.13.201', 13758)",Motion detected!
10,2024-08-05 06:21:59,"('119.92.13.201', 13759)",Motion detected!
4,2024-08-05 06:21:59,"('119.92.13.201', 13756)",Motion detected!
7,2024-08-05 06:21:59,"('119.92.13.201', 13754)",Motion detected!
4,2024-08-05 06:22:00,"('119.92.13.201', 13756)",Motion detected!
9,2024-08-05 06:22:00,"('119.92.13.201', 13757)",Motion detected!
6,2024-08-05 06:22:00,"('119.92.13.201', 13758)",Motion detected!
2,2024-08-05 06:22:00,"('119.92.13.201', 13750)",Motion detected!
8,2024-08-05 06:22:01,"('119.92.13.201', 13755)",Motion detected!
10,2024-08-05 06:22:01,"('119.92.13.201', 13759)",Motion detected!
7,2024-08-05 06:22:01,"('119.92.13.201', 13754)",Motion detected!
3,2024-08-05 06:22:01,"('119.92.13.201', 13751)",Motion detected!
2,2024-08-05 06:22:01,"('119.92.13.201', 13750)",Motion detected!
6,2024-08-05 06:22:01,"('119.92.13.201', 13758)",Motion detected!
5,2024-08-05 06:22:02,"('119.92.13.201', 13752)",Motion detected!
4,2024-08-05 06:22:02,"('119.92.13.201', 13756)",Motion detected!
11,2024-08-05 06:22:03,"('119.92.13.201', 13753)",Motion detected!
8,2024-08-05 06:22:03,"('119.92.13.201', 13755)",Motion detected!
4,2024-08-05 06:22:03,"('119.92.13.201', 13756)",Motion detected!
9,2024-08-05 06:22:04,"('119.92.13.201', 13757)",Motion detected!
7,2024-08-05 06:22:04,"('119.92.13.201', 13754)",Motion detected!
3,2024-08-05 06:22:04,"('119.92.13.201', 13751)",Motion detected!
2,2024-08-05 06:22:04,"('119.92.13.201', 13750)",Motion detected!
10,2024-08-05 06:22:05,"('119.92.13.201', 13759)",Motion detected!
9,2024-08-05 06:22:05,"('119.92.13.201', 13757)",Motion detected!
6,2024-08-05 06:22:05,"('119.92.13.201', 13758)",Motion detected!
8,2024-08-05 06:22:05,"('119.92.13.201', 13755)",Motion detected!
11,2024-08-05 06:22:06,"('119.92.13.201', 13753)",Motion detected!
5,2024-08-05 06:22:07,"('119.92.13.201', 13752)",Motion detected!
3,2024-08-05 06:22:07,"('119.92.13.201', 13751)",Motion detected!
7,2024-08-05 06:22:07,"('119.92.13.201', 13754)",Motion detected!
2,2024-08-05 06:22:07,"('119.92.13.201', 13750)",Motion detected!
5,2024-08-05 06:22:08,"('119.92.13.201', 13752)",Motion detected!
4,2024-08-05 06:22:08,"('119.92.13.201', 13756)",Motion detected!
6,2024-08-05 06:22:08,"('119.92.13.201', 13758)",Motion detected!
11,2024-08-05 06:22:09,"('119.92.13.201', 13753)",Motion detected!
2,2024-08-05 06:22:09,"('119.92.13.201', 13750)",Motion detected!
10,2024-08-05 06:22:10,"('119.92.13.201', 13759)",Motion detected!
